total_loss,box_loss,dfl_loss,cls_loss,fsm_loss,con_loss
"tensor(0.90336, device='cuda:0', grad_fn=<DivBackward0>)",2.4676222403844195,2.204656143983205,0.3199375805755456,1.30300439397494,3.32275390625
"tensor(0.86922, device='cuda:0', grad_fn=<DivBackward0>)",2.30584051211675,2.1205582817395525,0.20681101207931837,1.1876620451609294,2.574462890625
"tensor(0.73697, device='cuda:0', grad_fn=<DivBackward0>)",1.9835612078507743,1.9525907635688782,0.1781200679639975,1.1492765446503959,2.29248046875
"tensor(0.74311, device='cuda:0', grad_fn=<DivBackward0>)",1.7384068171183271,1.8635696371396384,0.16415579865376156,1.1855367372433345,2.14208984375
"tensor(0.75873, device='cuda:0', grad_fn=<DivBackward0>)",1.6748147904872897,1.8709922432899475,0.15542065848906833,1.1263231386741002,1.541259765625
"tensor(0.60874, device='cuda:0', grad_fn=<DivBackward0>)",1.4267973204453785,1.7093230783939364,0.11873404495418072,1.119859422246615,1.321533203125
"tensor(0.69471, device='cuda:0', grad_fn=<DivBackward0>)",1.375991761684418,1.7436041434605916,0.11929827742278576,1.0866924424966176,1.510986328125
"tensor(0.62308, device='cuda:0', grad_fn=<DivBackward0>)",1.4624119003613791,1.7498365044593809,0.13749251017967856,1.0302619437376657,1.4423828125
"tensor(0.50069, device='cuda:0', grad_fn=<DivBackward0>)",1.3670638203620913,1.7817727625370026,0.12231964307526745,1.0239154547452927,1.626708984375
"tensor(0.56350, device='cuda:0', grad_fn=<DivBackward0>)",1.3215638697147367,1.738020837306976,0.1155980546027422,1.0340310533841452,1.340087890625
"tensor(0.56383, device='cuda:0', grad_fn=<DivBackward0>)",1.146623303492864,1.7014024754365287,0.09150130053361258,1.0500467618306477,1.3172607421875
"tensor(0.53877, device='cuda:0', grad_fn=<DivBackward0>)",1.2113383213678994,1.670407126347224,0.10783049526313941,0.9434415052334466,1.469482421875
"tensor(0.51311, device='cuda:0', grad_fn=<DivBackward0>)",1.1953650613625844,1.6719612081845605,0.10580372872451942,0.8692763298749925,1.3746337890625
"tensor(0.50044, device='cuda:0', grad_fn=<DivBackward0>)",1.261971563100815,1.7043021519978843,0.10763892779747643,0.8520044485727946,2.06396484375
"tensor(0.54190, device='cuda:0', grad_fn=<DivBackward0>)",1.1984272400538125,1.6759987771511078,0.09737965961297353,0.8854042539993923,1.80078125
"tensor(0.49745, device='cuda:0', grad_fn=<DivBackward0>)",0.9943948189417521,1.616303304831187,0.08005762534836927,0.8858378926912943,1.1929931640625
"tensor(0.51609, device='cuda:0', grad_fn=<DivBackward0>)",1.040685459971428,1.6463626027107239,0.08856034527222315,0.8799159675836564,1.0369873046875
"tensor(0.55437, device='cuda:0', grad_fn=<DivBackward0>)",1.0104446709156036,1.6282150248686473,0.08457205755015215,0.8094349304835001,1.1793212890625
"tensor(0.55923, device='cuda:0', grad_fn=<DivBackward0>)",0.9186711609363557,1.6073696116606395,0.07691860695679982,0.8977703402439753,1.0860595703125
"tensor(0.47550, device='cuda:0', grad_fn=<DivBackward0>)",0.9314794391393661,1.6183075010776518,0.07890141041328509,0.786542296409607,0.9898681640625
"tensor(0.53206, device='cuda:0', grad_fn=<DivBackward0>)",0.9124961296717327,1.6074625651041665,0.06743805079410474,0.7918412685394287,1.361083984375
"tensor(0.48367, device='cuda:0', grad_fn=<DivBackward0>)",1.0033910026152928,1.64256152510643,0.08028313734879096,0.7825709382692972,1.44580078125
"tensor(0.47929, device='cuda:0', grad_fn=<DivBackward0>)",0.9698242843151093,1.6230243444442751,0.07917258143424989,0.7739573617776234,0.910400390625
"tensor(0.44696, device='cuda:0', grad_fn=<DivBackward0>)",0.8792104870080947,1.6089295347531636,0.0694166924804449,0.7759866813818613,0.81103515625
"tensor(0.45651, device='cuda:0', grad_fn=<DivBackward0>)",0.8378254870573681,1.634962817033132,0.06864846280465524,0.7112486362457275,1.5430908203125
"tensor(0.44698, device='cuda:0', grad_fn=<DivBackward0>)",0.8462666869163513,1.586764673391978,0.0644318237900734,0.7592703526218731,0.9774169921875
"tensor(0.41552, device='cuda:0', grad_fn=<DivBackward0>)",0.7523384590943654,1.584617773691813,0.059912283283968755,0.7097810854514439,0.83056640625
"tensor(0.45685, device='cuda:0', grad_fn=<DivBackward0>)",0.8037586410840353,1.5770614643891654,0.06111873562137286,0.7393727426727613,0.8323974609375
"tensor(0.50954, device='cuda:0', grad_fn=<DivBackward0>)",0.8547726273536683,1.5973588824272158,0.06756286974996328,0.7990521490573882,1.0457763671875
"tensor(0.50849, device='cuda:0', grad_fn=<DivBackward0>)",0.9486991514762244,1.6042198240756989,0.07244517436871925,0.7528608217835426,1.02880859375
